-	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p5	p6	p7	p8	p9
4AA1	+																													+			+				+				+		+	
B353	+																																					+		+				+
BAA	+																																					+		+				+
BABF1	+																																					+		+				+
BAC	+																																							+				+
BACI	+																																					+		+				+
BAG3X21																			+		+																							
BAH	+																																					+		+				+
BAK	+																																					+		+				+
BAM	+																																					+		+				+
BAMEG	+																																					+		+				+
BantA1																																								+				
BantA9	+																																					+		+				+
BantC	+																																					+		+				+
BantKB	+																																					+						+
BantV	+																																					+		+				+
BantWNA	+																																					+		+				+
BAO	+																																					+						+
BAQ	+																																					+		+				+
BATI	+																																					+		+				+
BC03BB108										+																												+		+				+
BCA	+																																					+						+
BCAH1134									+																	+			+		+													+
BCAH187	+															+		+											+															+
BCAH820	+							+																														+						+
BCE	+																																					+						+
Bcer98							+											+																										
bcere0001								+				+																																
bcere0002																										+			+															
bcere0004					+																		+								+					+								+
bcere0005																										+												+						
bcere0006									+																																			
bcere0007				+												+	+								+										+									
bcere0009	+																												+															
bcere0012								+								+																												
bcere0013	+																										+																	
bcere0014			+	+			+																		+					+					+									
bcere0015																+																												
bcere0016					+										+									+												+		+						+
bcere0017			+		+	+									+								+									+				+								
bcere0018	+				+										+									+												+	+			+				+
bcere0019			+		+				+														+									+				+								
bcere0020			+		+											+	+						+									+				+								
bcere0023					+												+						+													+								
bcere0024			+		+				+														+													+								
bcere0025	+																									+			+	+														
bcere0026					+																								+							+								+
bcere0027					+			+							+									+												+		+						+
bcere0028	+					+					+																		+															+
bcere0029	+																												+															+
bcere0030	+																												+															+
BcerKBAB4				+													+								+				+						+									+
bcf									+																																			
BCG9842																						+															+							+
BCK	+																													+														+
BCN	+																												+															+
BCQ	+																												+															+
BCSJ1															+																													
BCW											+																																	
BDRDST26																			+																									
BMB171					+										+									+												+		+						+
bmyco0001					+		+					+												+												+								
bmyco0002											+			+			+									+				+														
bmyco0003			+								+			+			+									+				+														
bpmyx0001			+								+															+				+					+									
Bt407													+	+					+		+						+														+			
BTF1						+								+		+	+																+					+						+
BTG	+								+																								+				+	+			+	+		+
bthur0001																						+								+								+						+
bthur0002													+	+													+														+			
bthur0003										+			+			+	+	+		+							+	+	+												+	+	+	
bthur0004	+									+										+																		+			+	+		+
bthur0005											+					+																												
bthur0006																																										+	+	
bthur0007		+																				+				+			+								+							+
bthur0008													+					+		+							+	+	+												+	+	+	+
bthur0009																+	+																											
bthur0010					+																		+								+					+								+
bthur0011	+																+									+			+	+								+						+
bthur0012	+																									+			+									+						+
bthur0013		+				+						+	+				+									+			+	+			+	+										
bthur0014		+												+		+	+										+						+	+				+						+
BXA0020																																						+						
BXA0023																																												+
BXA0067	+																																											
CT43													+	+		+	+	+	+	+							+						+				+				+		+	+
E33L					+			+	+						+								+													+								
G9241															+																													
GBAA	+																																					+		+				+
H38																+	+																											
H39	+																									+			+									+						
H43					+																			+												+		+						+
H60	+						+									+	+									+			+									+						
H67	+																									+			+									+						+
H68					+																			+												+		+						+
H9401	+																																					+		+				+
HD1																					+					+	+		+				+				+			+	+	+	+	+
HD73																			+									+												+	+			
IAU	+											+				+				+									+															+
IC1	+									+				+		+										+			+	+	+										+		+	+
IC3		+		+		+	+																		+									+	+					+				
IC5	+															+		+											+															+
IC9			+			+											+															+												
ICE					+						+												+													+								
ICG			+	+					+																+							+			+									
ICU			+		+																		+									+				+								
ICW									+		+																																	
ICY			+		+																		+									+				+								
IE1		+																																+									+	
IE3					+																		+				+									+								
IE5									+			+						+								+			+															+
IE7		+																																+										
IE9		+																																+						+				
IEA			+						+								+															+								+				
IEC			+		+																			+								+				+								
IEE			+	+																					+							+			+					+				
IEI			+													+																+								+				
IEK			+		+												+						+									+				+								
IEM			+		+																		+									+				+								
IEQ					+																		+													+								
IEU			+									+																				+												
IEW			+			+						+																				+												
IEY			+			+						+																				+												
IG1																											+													+		+	+	
IG3	+	+		+																					+				+					+	+		+							+
IG7																	+																											
IGC				+							+						+								+										+									
IGE					+																		+													+								
IGI			+						+								+															+								+				
IGK			+			+			+																							+								+				
IGO			+			+						+				+																+								+				
IGW																																								+				
II3			+		+		+																+									+				+								
II5		+																											+					+									+	+
II7	+																												+															+
II9	+																												+															+
IIA	+						+										+									+			+	+								+						+
IIE										+																+			+				+				+	+				+		+
IIG	+			+																					+										+			+						+
III	+			+		+										+									+				+						+									+
IIK					+			+							+									+												+		+						+
IIM											+						+									+			+															+
IIO					+		+										+						+				+									+				+				
IK3			+				+				+																					+								+				
IK5											+					+																												
IK7	+									+							+									+			+	+	+													+
IK9									+			+										+				+			+	+								+						+
IKA	+																									+			+	+														+
IKG	+											+				+	+												+															+
IKM			+		+	+					+	+				+								+								+				+				+				
IKO			+	+		+																			+							+			+									
IKS			+	+		+	+																		+							+			+									
IS5056		+								+			+	+		+	+			+						+		+	+				+				+				+	+	+	+
MC28		+			+											+	+						+													+				+				
pGI1																				+																								
pGI3																		+																										
RBTH		+				+								+		+	+																	+										
YBT1520																					+					+	+	+	+				+				+				+	+	+	+
YBT020					+										+									+																		+		
H1																												+												+				
H10ab		+											+			+									+															+				
H15							+																				+					+								+		+		
H16		+																																										
H17		+																										+																
H18		+			+			+															+											+										
H2					+																			+													+	+						
H20ac																																		+								+		
H21		+		+																+								+	+			+		+				+				+		
H22														+																														
H23					+											+			+																							+		
H24ab																														+											+	+		
H24ac		+									+				+																	+		+	+					+				
H25		+			+											+									+												+							
H26					+										+					+								+						+										
H27		+												+																			+								+			
H28ab		+																					+																	+		+		
H28ac																																+												
H32				+					+																								+			+								
H33					+																																+							
H34																																			+					+	+			
H37				+																+				+				+						+						+		+		
H39G	+										+																	+				+								+		+		
H3adc				+												+				+				+				+				+										+		+
H3ade				+												+								+								+										+		
H40					+																																			+				
H41	+															+				+	+																			+				
H45					+																																+						+	+
H47															+																													
H48					+																																							
H49																																					+							
H4ac				+																+				+				+						+				+		+		+		
H50				+																									+							+		+					+	
H50ab																								+				+				+		+						+		+		
H51																																		+				+		+				
H53				+																																+								
H54																								+								+		+						+		+		+
H55		+			+											+																												
H57		+																			+											+		+										
H59		+																														+						+						
H6						+																					+	+				+	+	+						+				
H60G																+																								+				
H61		+							+																									+						+				
H62																																		+										
H64						+															+							+									+					+		
H66								+																													+			+				
H67G	+																		+																					+				
H68G					+	+									+									+			+														+	+		
H7																													+											+	+			
H8ac				+																+					+			+													+		+	
H9					+	+																										+						+			+	+	+	
20140314RJT043									+	+		+		+		+	+								+		+				+		+				+				+	+		+
20130921AHT023			+											+		+	+	+	+	+	+						+						+				+				+			+
20140331CJT091					+									+		+	+		+							+	+	+	+		+		+			+	+					+	+	+
2014311LJLT039					+					+		+		+				+									+						+				+				+	+		+
20131028sajT022			+			+	+			+				+					+								+				+	+					+							
20130915ZNT029										+				+				+	+	+							+			+			+				+	+			+	+		+
20130903ZNT012		+								+				+					+	+							+						+				+				+	+		+
20140314RJT048				+	+							+		+		+									+		+				+		+		+	+								+
20140302HHT007					+									+	+	+							+				+			+						+	+							
2014310LJLT015			+							+						+	+	+									+						+				+				+	+		+
2014323LJLT063			+						+			+		+					+												+	+												
20131113ZYLT097					+					+				+		+	+	+	+	+							+						+				+				+			+
20140409CSFT074			+											+		+										+	+	+	+		+		+				+	+						+
20131110ZYLT094		+								+		+		+						+							+			+			+				+	+			+	+		+
2014323LJLT054					+									+									+							+						+		+						
20140411HHT057		+					+			+				+					+								+						+				+				+	+		+
20131113ZYLT099										+				+			+	+	+	+						+	+		+		+		+				+				+	+	+	+
20130925ZYLT060									+					+		+	+	+	+	+	+						+	+					+				+				+			+
20140302HHT004	+			+	+			+								+			+								+	+	+	+	+		+			+	+							+
20140318RJT055		+			+				+	+				+		+			+	+						+	+		+		+		+	+			+	+			+	+		+
2014323LJLT052									+					+		+		+	+				+			+	+		+		+		+				+				+	+		+
20140409CSFT073							+			+						+			+							+	+	+	+		+		+				+				+	+	+	+
20140402CJT139																+	+		+							+	+	+	+		+		+				+				+	+		+
20130725CFT001		+								+							+	+	+	+						+	+		+	+	+		+				+				+	+	+	+
2014311LILT037		+							+	+				+			+										+				+		+				+				+	+		+
20140329RJT194			+		+		+					+				+										+	+		+	+	+	+	+			+	+	+			+		+	+
20130929CFT099		+								+		+		+		+	+	+	+	+						+	+						+			+	+				+	+	+	+
20130923PCYT011														+			+		+	+						+	+		+									+						+
20131028sajT025			+						+			+				+			+								+				+	+						+						
20131028sajT032					+		+			+		+		+		+	+	+	+	+							+						+				+				+			+
20140402CJT144																+										+			+		+	+	+				+							+
20140411HHT063														+		+										+			+		+		+				+				+			+
20140310ZSST38										+									+	+							+						+				+				+	+		+
20130919CXPT008		+			+					+		+		+				+	+	+							+						+				+			+	+	+		+
20140902YJPt001		+	+		+	+	+			+	+		+	+	+	+	+	+	+							+	+			+	+	+	+	+		+	+	+			+	+	+	+
20131018KWLT003														+		+	+	+	+	+							+				+		+			+								
20130923PCYT006														+		+	+	+	+	+	+						+		+	+			+				+				+			+
20131027CSFT091								+		+		+		+				+	+								+	+		+						+		+						+
2014311LILT028									+	+		+				+	+										+						+				+				+	+		+
20140331HHT040	+										+																+		+		+													+
20130807CFT017					+						+	+		+	+	+		+	+	+				+			+			+	+			+		+		+						
20140322RJT097										+				+																			+				+				+	+		+
20140320RJT069									+							+			+							+			+		+		+				+							+
20140310ZSST23										+									+														+				+	+			+	+		+
20131129CSFT007			+					+		+		+				+	+		+						+		+	+		+	+	+						+						+
20140318RJT051														+		+										+	+		+		+		+				+							+
20130905LLLT354										+				+		+	+	+	+	+							+			+			+				+				+			+
20140321CSFT064		+					+			+		+							+								+	+		+			+				+	+			+	+		+
20140329RJT184										+				+		+			+								+				+		+				+	+			+	+		+
20131118PCYT056		+			+	+			+					+				+	+	+			+				+			+	+			+		+								
20130923ZYLT052														+		+	+	+	+	+	+						+						+				+				+			+
