-	p1	p10	p11	p12	p13	p14	p15	p16	p17	p19	p20	p21	p23	p24	p25	p29	p3	p30	p31	p32	p33	p35	p36	p37	p38	p39	p40	p41	p42	p44	p5	p7	p8
4AA1	+																							+									+
BAC	+																														+		
BAG3X21																+																	
BAM	+																													+	+		
BC03BB108																														+	+		
BCA	+																													+			
BCAH1134									+												+		+		+								
BCAH820	+							+																						+			
Bcer98							+																										
bcere0001								+			+																						
bcere0002																					+		+										
bcere0004					+													+							+				+				
bcere0005																					+									+			
bcere0007				+										+	+					+								+					
bcere0012								+						+																			
bcere0013	+																																
bcere0014			+	+			+													+				+				+					
bcere0017			+		+	+							+					+								+			+				
bcere0018	+				+								+						+										+		+		
bcere0019			+		+				+									+								+			+				
bcere0020			+		+									+	+			+								+			+				
bcere0023					+										+			+											+				
bcere0024			+		+				+									+											+				
bcere0025	+																				+		+	+									
bcere0026					+																		+						+				
bcere0027					+			+					+						+										+	+			
bcere0028	+					+				+													+										
BcerKBAB4				+											+					+			+					+					
bcf									+																								
BCG9842																	+																
BCK	+																							+									
BCN	+																						+										
BCW										+																							
BMB171					+								+						+										+	+			
bmyco0001					+		+				+								+										+				
bmyco0002										+					+						+			+									
bmyco0003			+							+					+						+			+									
bpmyx0001			+							+											+			+				+					
Bt407												+				+																	
BTF1						+								+	+															+			
BTG	+								+																					+		+	
bthur0001																	+							+						+			
bthur0002												+																					
bthur0003												+		+	+							+	+									+	+
bthur0005										+				+																			
bthur0006																																+	+
bthur0007		+															+				+		+										
bthur0008												+										+	+									+	+
bthur0011	+														+						+		+	+						+			
bthur0012	+																				+		+							+			
bthur0013		+				+					+	+			+						+		+	+			+						
bthur0014		+												+	+												+			+			
BXA0020																														+			
CT43												+		+	+																		+
E33L					+			+	+				+					+											+				
G9241													+																				
H43					+														+										+	+			
H60	+						+							+	+						+		+							+			
HD1																+					+		+								+	+	+
IAU	+										+			+									+										
IC1	+													+							+		+	+	+								+
IC3		+		+		+	+													+							+	+			+		
IC5	+													+									+										
IC9			+			+									+											+							
ICE					+					+								+											+				
ICG			+	+					+											+						+		+					
ICW									+	+																							
ICY			+		+													+								+			+				
IE1		+																									+						+
IE5									+		+										+		+										
IE7		+																									+						
IE9		+																									+				+		
IEA			+						+						+											+					+		
IEC			+		+														+							+			+				
IEE			+	+																+						+		+			+		
IEI			+											+												+					+		
IEK			+		+										+			+								+			+				
IEU			+								+															+							
IEW			+			+					+															+							
IG1																															+	+	+
IG3	+	+		+																+			+				+	+					
IG7															+																		
IGC				+						+					+					+								+					
IGE					+													+											+				
IGK			+			+			+																	+					+		
IGO			+			+					+			+												+					+		
IGW																															+		
II3			+		+		+											+								+			+				
II5		+																					+				+						+
IIA	+						+								+						+		+	+						+			
IIE																					+		+							+		+	
IIG	+			+																+								+		+			
III	+			+		+								+						+			+					+					
IIM										+					+						+		+										
IIO					+		+								+			+											+		+		
IK3			+				+			+																+					+		
IK7	+														+						+		+	+	+								
IK9									+		+						+				+		+	+						+			
IKG	+										+			+	+								+										
IKM			+		+	+				+	+			+					+							+			+		+		
IKO			+	+		+														+						+		+					
IKS			+	+		+	+													+						+		+					
IS5056		+										+		+	+						+	+	+									+	+
MC28		+			+									+	+			+											+		+		
RBTH		+				+								+	+												+						
YBT1520																+					+	+	+									+	+
YBT020					+								+						+													+	
H10ab		+										+		+						+											+		
H15							+																			+					+	+	
H17		+																				+											
H18		+			+			+										+									+						
H2					+														+											+			
H20ac																											+					+	
H21		+		+																		+	+			+	+			+		+	
H23					+									+																		+	
H24ab																								+								+	
H24ac		+								+			+													+	+	+			+		
H25		+			+									+						+													
H26					+								+									+					+						
H27		+																															
H28ab		+																+													+	+	
H28ac																										+							
H32				+					+																				+				
H34																												+			+		
H37				+															+			+					+				+	+	
H39G	+									+												+				+					+	+	
H3adc				+										+					+			+				+						+	
H3ade				+										+					+							+						+	
H40					+																										+		
H41	+													+		+															+		
H45					+																												+
H48					+																												
H4ac				+															+			+					+			+	+	+	
H50				+																			+						+	+			+
H50ab																			+			+				+	+				+	+	
H51																											+			+	+		
H53				+																									+				
H54																			+							+	+				+	+	
H55		+			+									+																			
H57		+														+										+	+						
H59		+																								+				+			
H6						+																+				+	+				+		
H60G														+																	+		
H61		+							+																		+				+		
H62																											+						
H64						+										+						+										+	
H66								+																							+		
H68G					+	+							+						+													+	
H7																							+								+		
H8ac				+																+		+											+
H9					+	+																				+				+		+	+
20140314RJT043									+		+			+	+					+					+							+	
20130921AHT023			+											+	+	+																	
20140331CJT091					+									+	+						+	+	+		+				+			+	+
2014311LJLT039					+						+																					+	
20131028sajT022			+			+	+																		+	+							
20130915ZNT029																								+						+		+	
20140314RJT048				+	+						+			+						+					+			+	+				
20140302HHT007					+								+	+				+						+					+				
2014310LJLT015			+											+	+																	+	
2014323LJLT063			+						+		+														+	+							
20140409CSFT074			+											+							+	+	+		+					+			
20131110ZYLT094		+									+													+						+		+	
2014323LJLT054					+													+						+					+	+			
20140411HHT057		+					+																									+	
20131113ZYLT099															+						+		+		+							+	+
20130925ZYLT060									+					+	+	+						+											
20140302HHT004	+			+	+			+						+								+	+	+	+				+				
20140318RJT055		+			+				+					+							+		+		+		+			+		+	
2014323LJLT052									+					+				+			+		+		+							+	
20140402CJT139														+	+						+	+	+		+							+	
20130725CFT001		+													+						+		+	+	+							+	+
2014311LILT037		+							+						+										+							+	
20140329RJT194			+		+		+				+			+							+		+	+	+	+			+	+			+
20130929CFT099		+									+			+	+						+								+			+	+
20130923PCYT011															+						+		+							+			
20131028sajT025			+						+		+			+											+	+				+			
20131028sajT032					+		+				+			+	+																		
20140402CJT144														+							+		+		+	+							
20130919CXPT008		+			+						+																				+	+	
20140902YJPt001		+	+		+	+	+			+		+	+	+	+						+			+	+	+	+		+	+		+	+
20131018KWLT003														+	+										+				+				
20130923PCYT006														+	+	+							+	+									
20131027CSFT091								+			+											+		+					+	+			
2014311LILT028									+		+			+	+																	+	
20140331HHT040	+									+													+		+								
20130807CFT017					+					+	+		+	+					+					+	+		+		+	+			
20140320RJT069									+					+							+		+		+								
20131129CSFT007			+					+			+			+	+					+		+		+	+	+				+			
20130905LLLT354														+	+									+									
20140321CSFT064		+					+				+											+		+						+		+	
20140329RJT184														+											+					+		+	
20131118PCYT056		+			+	+			+									+						+	+		+		+				
20131027CSFT002		+							+					+																		+	
20130915ZNT027														+	+										+								
20131015ZYLT076		+																														+	
20140402CJT133			+							+				+							+		+	+	+								
20140310HHT029														+									+									+	
20131021ZYLT084			+						+		+			+	+										+	+						+	
20131028sajT036		+				+	+		+		+			+																		+	
20131028sajT016	+						+								+	+							+		+								
LLLDT011						+					+			+	+																		
20140329RJT198			+						+					+	+									+	+	+				+			
20140327RJT114				+		+	+			+										+	+				+			+					
20140314RJT007		+												+	+									+		+						+	
20140329RJT206			+						+		+			+							+		+		+					+			
20131028sajT038							+														+		+		+							+	+
20130715ZYLT001						+									+															+		+	
20140310HHT010											+			+							+		+		+					+		+	
2014323LJLT061			+								+			+	+					+	+		+	+	+	+							
20130902ZYLT033							+								+						+		+		+		+					+	+
20140320RJT077		+												+													+			+		+	
20140314RJT035					+				+		+			+											+				+	+	+		
2014323LJLT058							+			+	+			+							+		+	+	+								
20130923PCYT001									+					+	+														+				
20130726ZYLT012							+							+	+	+							+										
20140320RJT074						+			+					+							+				+				+	+		+	+
20140322RJT093		+									+															+			+				
20140314RJT038														+							+		+		+					+			
20140320RJT068									+					+																+		+	
20140314RJT039																		+			+				+							+	
20140314RJT049				+	+	+	+		+		+			+				+			+			+	+		+		+	+			
20130919LJT007									+		+			+	+										+					+		+	
20140314RJT033						+			+					+	+								+						+				
20130725CFT012											+			+	+														+			+	
2014311LJLT030						+								+							+	+		+	+				+	+		+	
20140321CSFT067			+				+							+				+		+	+	+	+	+	+							+	
20140322RJT090					+										+																	+	
20130915ZYLT048							+		+					+	+																		
20140314RJT029											+			+							+		+		+							+	+
20140310HHT035														+				+	+													+	
20140318RJT054											+			+	+						+		+		+					+			
20131028sajT051										+					+														+				
20140410ZSST48		+					+								+									+								+	+
20130905LLLT372									+					+	+									+									
20140401RJT212									+		+			+							+		+		+					+			
20140317LTT044									+					+							+		+		+				+				
20131107LJT031					+									+	+						+				+							+	
20130929PCYT019											+										+		+		+				+			+	+
20130905LLLT381									+						+		+												+			+	
20130919LJT013											+			+	+												+						
20140314RJT020			+				+														+		+		+							+	+
20140411HHT097		+						+						+	+						+	+	+	+	+					+		+	+
2014310LJLT009			+				+		+		+														+				+			+	
20140308CSFT043							+	+			+			+	+						+	+	+		+					+			
2014311LILT043									+															+								+	
20140411HHT059											+			+	+							+			+							+	
20140411HHT099															+						+								+			+	
20130930sajT011						+								+	+																		
20140402CJT143					+										+						+	+	+		+					+		+	+
20131030CXPT017									+					+	+						+											+	+
20131118LJT047									+		+			+	+														+			+	
20131028sajT039							+							+							+	+	+		+							+	+
20130923PCYT017			+	+	+				+											+					+	+		+	+				
2014323LJLT053			+						+		+			+	+										+	+							
20140322RJT094			+												+						+	+	+		+					+		+	+
20140314RJT017											+			+	+						+		+		+							+	+
20131028sajT037											+																						
20130905LLLT377			+	+	+	+	+		+		+			+	+					+					+		+	+			+		
20140310HHT009							+		+					+							+		+	+	+								
20130917AHT003								+						+	+										+								
2014323LJLT051		+									+													+					+	+		+	
2014310LJLT019									+		+			+							+	+	+		+				+	+		+	
20140322RJT104		+												+																		+	
20131122LJT058		+													+										+			+	+			+	+
20140327RJT117	+		+				+								+						+		+		+					+			
20140402CJT134				+	+									+							+	+	+	+	+				+			+	+
20140322RJT102							+							+	+						+	+	+	+	+				+				
20131102PCYT042		+				+															+		+		+							+	+
20131008AHT028		+				+	+							+	+						+		+		+		+			+	+		
20130902ZYLT034		+												+	+						+		+		+							+	+
20121220NXTT018	+																							+						+		+	
20121220NXTT021		+																			+				+					+		+	
20101220NXTT080		+																						+						+		+	
20121220NXTT026							+							+							+		+	+	+							+	+
20120412LHLT139		+														+																+	
20121213NXTT002		+	+																													+	
20121213NXTT004		+																			+		+							+		+	+
20121220NXTT061					+								+											+					+	+			
20121220NXTT062														+	+						+			+									
20121220NXTT014															+																	+	
20121220NXTT050		+									+			+	+	+					+											+	
20121223NXTT144														+	+	+						+											
20130101LHLT001					+					+	+			+	+																		
20130101LHLT004					+	+	+		+	+																	+					+	
20130101LHLT028																					+		+		+							+	+
20130105LHLT057						+	+				+																			+		+	
20130105LHLT067						+					+				+									+								+	
20130106LHLT068											+			+	+									+	+					+			
20130106LHLT080											+													+								+	
20130106LHLT083					+	+					+										+		+	+	+				+			+	+
20130108NXTT145											+					+					+	+	+		+								+
20130108NXTT146							+		+	+											+		+		+				+			+	+
20130108NXTT147							+			+					+						+		+	+	+								+
20130108NXTT149							+		+	+																							
20130314NXTT158							+		+	+				+															+			+	
20130327WXXT086			+		+	+	+		+	+	+			+	+			+						+	+	+			+	+			
20130327WXXT107			+		+				+		+			+	+	+		+						+	+	+			+				
20130327WXXT108			+	+	+	+	+		+	+	+				+					+	+				+	+		+					
20130403LHLT111														+	+											+							
20130403LHLT112											+				+	+		+			+	+	+		+							+	+
20130403LHLT113		+		+			+			+	+			+		+				+			+		+			+	+			+	
20130407WXXT116			+						+		+				+	+						+			+	+							
20130407WXXT119		+					+		+		+					+					+	+	+		+					+		+	+
20130407WXXT184							+							+		+														+		+	
